Molecule,Formula,Process
D-Ribose 1,5-bisphosphate,C5H12O11P2,Pentose phosphate pathway 
alpha-D-Glucose 6-phosphate,C6H13O9P,Pentose phosphate pathway 
D-Glyceraldehyde 3-phosphate,C3H7O6P,Pentose phosphate pathway 
Pyruvate,C3H4O3,Pentose phosphate pathway 
D-Gluconic acid,C6H12O7,Pentose phosphate pathway 
D-Glucono-1,5-lactone,C6H10O6,Pentose phosphate pathway 
D-Glucose,C6H12O6,Pentose phosphate pathway 
beta-D-Glucose,C6H12O6,Pentose phosphate pathway 
6-Phospho-D-gluconate,C6H13O10P,Pentose phosphate pathway 
2-Dehydro-3-deoxy-D-gluconate,C6H10O6,Pentose phosphate pathway 
2-Amino-2-deoxy-D-gluconate,C6H13NO6,Pentose phosphate pathway 
2-Dehydro-3-deoxy-6-phospho-D-gluconate,C6H11O9P,Pentose phosphate pathway 
D-Ribose 5-phosphate,C5H11O8P,Pentose phosphate pathway 
5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,Pentose phosphate pathway 
alpha-D-Ribose 1-phosphate,C5H11O8P,Pentose phosphate pathway 
D-Ribose,C5H10O5,Pentose phosphate pathway 
D-Erythrose 4-phosphate,C4H9O7P,Pentose phosphate pathway 
6-Phospho-2-dehydro-D-gluconate,C6H11O10P,Pentose phosphate pathway 
Sedoheptulose 7-phosphate,C7H15O10P,Pentose phosphate pathway 
Deoxyribose,C5H10O4,Pentose phosphate pathway 
2-Deoxy-D-ribose 5-phosphate,C5H11O7P,Pentose phosphate pathway 
beta-D-Fructose 1,6-bisphosphate,C6H14O12P2,Pentose phosphate pathway 
beta-D-Glucose 6-phosphate,C6H13O9P,Pentose phosphate pathway 
D-Glucono-1,5-lactone 6-phosphate,C6H11O9P,Pentose phosphate pathway 
2-Keto-D-gluconic acid,C6H10O7,Pentose phosphate pathway 
beta-D-Fructose 6-phosphate,C6H13O9P,Pentose phosphate pathway 
2-Deoxy-D-ribose 1-phosphate,C5H11O7P,Pentose phosphate pathway 
D-Glyceraldehyde,C3H6O3,Pentose phosphate pathway 
D-Glycerate,C3H6O4,Pentose phosphate pathway 
2-Phospho-D-glycerate,C3H7O7P,Pentose phosphate pathway 
D-Xylulose 5-phosphate,C5H11O8P,Pentose phosphate pathway 
D-Ribulose 5-phosphate,C5H11O8P,Pentose phosphate pathway 
D-arabino-Hex-3-ulose 6-phosphate,C6H13O9P,Pentose phosphate pathway 
D-Glucosaminate-6-phosphate,C6H14NO9P,Pentose phosphate pathway 
3-Phospho-D-glycerate,C3H7O7P,Pentose phosphate pathway 
